Gender,Invoice_ID,Branch,City,Customer_type,Product_line,Unit_price,Quantity,Sales,Tax
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,522.83,26.1415
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,76.4,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,413.04,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,735.6,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,72.52,3.626
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,164.52,8.226
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,57.92,2.896
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,234.75,11.7375
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,713.8,35.69
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,562.32,28.116
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,482.51,24.1255
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,80.6,4.03
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,420.72,21.036
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,175.34,8.767
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,441.8,22.09
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,397.68,19.884
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,68.12,3.406
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,547.92,27.396
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,439.36,21.968
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,86.72,4.336
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,414.72,20.736
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,789.6,39.48
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,375.84,18.792
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,180.09,9.0045
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,826.3,41.315
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,222.95,11.1475
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,71.48,3.574
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,687.84,34.392
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,723.5,36.175
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,74.22,3.711
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,495.63,24.7815
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,66.94,3.347
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,585.66,29.283
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,18.33,0.9165
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,145.56,7.278
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,455.46,22.773
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,416.5,20.825
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,180.09,9.0045
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,783.1,39.155
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,101.9,5.095
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,595.14,29.757
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,290.04,14.502
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,321.44,16.072
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,581.42,29.071
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,461.94,23.097
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,189.52,9.476
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,448.6,22.43
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,153.86,7.693
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,74.7,3.735
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,207.63,10.3815
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,305.82,15.291
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,32.98,1.649
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,294.63,14.7315
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,509.88,25.494
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,727.11,36.3555
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,81.06,4.053
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,109.6,5.48
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,796.48,39.824
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,451.76,22.588
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,655.83,32.7915
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,161.25,8.0625
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,285.57,14.2785
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,548.32,27.416
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,812.52,40.626
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,277.34,13.867
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,552.78,27.639
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,139.36,6.968
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,487.8,24.39
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,131.55,6.5775
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,206.52,10.326
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,898,44.9
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,686,34.3
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,30.41,1.5205
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,467.7,23.385
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,277.56,13.878
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,301.4,15.07
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,366.16,18.308
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,98.88,4.944
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,647.76,32.388
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,345.44,17.272
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,157.57,7.8785
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,86.38,4.319
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,755.92,37.796
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,279.24,13.962
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,231.12,11.556
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,147.04,7.352
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,790.2,39.51
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,74.29,3.7145
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,25.29,1.2645
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5,356.95,17.8475
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6,114.9,5.745
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4,229.96,11.498
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9,207.27,10.3635
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9,599.85,29.9925
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10,285.3,14.265
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3,91.11,4.5555
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9,897.57,44.8785
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9,839.34,41.967
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7,207.27,10.3635
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5,123.85,6.1925
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3,283.92,14.196
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3,172.02,8.601
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1,12.54,0.627
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2,174.32,8.716
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6,544.2,27.21
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8,507.36,25.368
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2,162.74,8.137
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3,31.77,1.5885
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9,756.81,37.8405
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2,186.28,9.314
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5,221.1,11.055
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5,66.1,3.305
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3,244.2,12.21
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2,28.78,1.439
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9,675.54,33.777
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4,65.8,3.29
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4,153.2,7.66
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10,222.4,11.12
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7,688.8,34.44
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10,746,37.3
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10,355.4,17.77
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5,337.15,16.8575
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2,42.24,2.112
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9,193.86,9.693
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2,24.06,1.203
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6,598.26,29.913
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10,218.2,10.91
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4,381.68,19.084
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8,559.68,27.984
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1,15.34,0.767
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4,190.68,9.534
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9,213.75,10.6875
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7,339.57,16.9785
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7,664.16,33.208
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1,62.48,3.124
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2,72.72,3.636
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5,259.6,12.98
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1,88.61,4.4305
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4,204.76,10.238
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8,119.68,5.984
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7,281.61,14.0805
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8,710.32,35.516
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3,79.44,3.972
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2,163.82,8.191
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5,71.15,3.5575
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9,139.95,6.9975
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10,781.3,39.065
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3,63.24,3.162
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7,207.69,10.3845
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9,206.37,10.3185
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1,39.42,1.971
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5,308.85,15.4425
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5,142.25,7.1125
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6,347.7,17.385
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3,142.95,7.1475
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9,385.38,19.269
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7,391.79,19.5895
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7,538.3,26.915
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5,485.15,24.2575
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9,701.37,35.0685
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8,714,35.7
